iso-date,tmin,tavg,tmax,precip,globrad,wind,relhumid
-,°C,°C,°C,mm ,MJ m-2,m s-1,%
01/01/2019,3.4,6.3,8.3,0.808,1.545,5.5,85.3
02/01/2019,-1.9,1.4,3.5,0.066,2.132,5.0,67.8
03/01/2019,-3.2,-0.8,1.6,1.18,2.123,3.0,86.1
04/01/2019,-3.4,0.9,4.1,0.699,0.619,2.8,99.0
05/01/2019,2.1,5.0,6.8,0.175,1.397,3.2,97.7
06/01/2019,-0.8,1.3,2.4,0.0,1.394,1.5,93.9
07/01/2019,-1.3,1.7,4.6,4.697,1.024,1.9,99.5
08/01/2019,2.0,4.5,5.7,9.132,0.825,4.6,98.3
09/01/2019,0.7,2.2,3.2,3.473,0.79,4.8,99.5
10/01/2019,-2.4,0.7,2.9,0.393,1.999,3.0,93.8
11/01/2019,-1.1,1.3,5.1,0.874,0.761,2.6,99.2
12/01/2019,3.3,4.4,5.4,4.5,1.249,3.4,97.5
13/01/2019,4.7,5.8,7.4,8.454,0.788,4.2,97.9
14/01/2019,0.1,2.1,5.3,0.044,3.601,5.9,67.6
15/01/2019,0.1,3.3,6.2,2.993,0.828,5.0,92.9
16/01/2019,3.1,5.9,6.7,0.131,0.78,4.0,92.7
17/01/2019,1.6,4.1,6.8,5.898,2.702,3.7,85.3
18/01/2019,-1.7,0.1,2.2,0.131,5.212,3.1,85.9
19/01/2019,-5.7,-2.1,1.7,0.0,5.465,0.9,95.3
20/01/2019,-7.0,-5.0,-2.9,0.0,2.496,1.0,99.5
21/01/2019,-4.7,-3.8,-2.6,0.0,2.612,2.2,98.7
22/01/2019,-6.2,-3.4,0.4,0.0,5.629,2.5,88.9
23/01/2019,-7.3,-5.8,-3.5,0.0,1.641,3.5,93.1
24/01/2019,-6.4,-4.6,-3.5,0.0,1.38,2.4,83.9
25/01/2019,-4.9,-4.2,-3.1,0.634,2.495,1.5,88.9
26/01/2019,-3.5,-0.3,2.1,1.704,1.167,2.1,97.4
27/01/2019,1.7,3.3,5.2,1.835,2.036,3.1,99.5
28/01/2019,0.9,2.9,5.3,1.529,4.958,2.3,93.9
29/01/2019,-0.9,0.9,2.5,0.131,3.628,2.6,96.9
30/01/2019,-1.3,0.2,3.1,0.0,5.584,2.9,85.7
